variable_name,variable_type,variable_description
covidbaby,binary,If the baby ever diagnosed with COVID-19 (1) or not (0)
babygestation,integer,How many weeks was mother's pregnancy with baby
delivery,factor,"How the baby was delivered. 1 = Unassisted Vaginal Birth , 2 = Assisted Vaginal Birth (forceps, vacuum) , 3 = Planned Caesarean , 4 = Emergency Caesarean "
momlivebirths,integer,"How many total live births has the mother had, including the baby"
totalpregnancies,integer,"How many total pregnancies has the mother had, including the baby"
nicuplacement,binary,If the baby was hospitalized in the Neonatal Intensive Care Unit (NICU) following delivery (1) or not (0)
twins_binary,binary,"Birth type: Multiple Births (1), Single Birth (0)"
mat_dep_before_during,binary,1 IF mat_dep = 1 OR 2; 0 otherwise
mat_dep_after,binary,1 IF mat_dep = 3; 0 otherwise
mat_anx_before_during,binary,1 IF mat_anx = 1 OR 2; 0 otherwise
mat_anx_after,binary,1 IF mat_anx = 3; 0 otherwise
mat_ocd_before_during,binary,1 IF mat_ocd = 1 OR 2; 0 otherwise
mat_ocd_after,binary,1 IF mat_ocd = 3; 0 otherwise
mat_bp_before_during,binary,1 IF mat_bp = 1 OR 2; 0 otherwise
mat_bp_after,binary,1 IF mat_pd = 3; 0 otherwise
mat_adhd_before_during,binary,1 IF mat_adhd = 1 OR 2; 0 otherwise
mat_adhd_after,binary,1 IF mat_adhd = 3; 0 otherwise
mat_pssd_before_during,binary,1 IF mat_pssd = 1 OR 2; 0 otherwise
mat_pssd_after,binary,1 IF mat_pssd = 3; 0 otherwise
trauma_emotional,binary,"Whether the mother experienced any emotional trauma (1) or not (0). Emotional trauma included emotional abuse, neglect, and grief or separation."
trauma_physical,binary,"Whether the mother experienced any physical trauma (1) or not (0). Physical trauma included sexual abuse/assault, physical abuse/assault, domestic violence, extreme interpersonal violence, serious accident/illness, or natural/manmade disasters. "
trauma_other,binary,"Whether the mother experience any other traumas (1) or not (0). Other trauma included community violence, school violence, bullying, war/terrorism/political violence, forced displacement, military trauma, or other"
trauma_interpersonal,binary,"Whether the mother experienced any interpersonal trauma (1) or not (0). Interpersonal trauma included sexual abuse/assault, physical abuse/assault, domestic violence, and extreme interpersonal violence."
trauma_maltreatment,binary,Whether the mother experienced any emotional trauma (1) or not (0). Emotional trauma included emotional abuse and neglect.
trauma_community,binary,"Whether the mother experienced any community/societal violence (1) or not (0). Community/societal violence included community violence, school violence, and bullying."
trauma_collective,binary,"Whether the mother experienced any collective/political trauma (1) or not (0). Collective/political trauma included war/terrorism/political violence, natural/manmade disasters, forced displacement, and military trauma."
trauma_loss_medical,binary,Whether the mother experienced any loss or medical trauma (1) or not (0). Loss or medical trauma included serious accident/illness and traumatic grief/separation.
ddfamily_sibling,binary,Whether any of the baby's siblings (half or full) experienced any developmental delay while an infant (1) or not (0)
szbpfamily_sibling,binary,Whether any of the baby's siblings (half or full) have a diagnosis of Schizophrenia or Bipolar Disorder (1) or not (0)
tobacco_binary,binary,Binary variable indicating whether a mother had reported tobacco exposure
drugs_alcohol_tobacco_binary,binary,Binary variable indicating whether a mother had reported drugs or alcohol exposure
cannabis_or_alcohol,binary,Binary variable indicating whether a mother had reported cannabis or alcohol exposure
other_drugs,binary,"If any stimulants, opioids psychoactive drugs, or other drugs were used during the pregnancy (1) or not (0)"
art_any,binary,If any ART was used for the pregnancy (1) or not (0)
art_method_missing,binary,If the mother used ART but did not specify which method (1) or no ART used (0)
fever_when_missing,binary,If them mother had a fever but did not indicate during which trimester it occurred (1) or no fever (0)
fever_any,binary,If the mother experienced a fever during the pregnancy (1) or not (0)
